PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEUI(kBtu/sf),Electricity(kBtu),NaturalGas(kBtu)
Hotel,LAKE UNION,1959,1.0,5,113173,42546,70627,Hotel,Parking,74.80000305,2944680.0,2339663.0
Hotel,LAKE UNION,2000,1.0,7,150453,34735,115718,Hotel,Restaurant,60.70000076,3396109.0,3319078.0
Hotel,LAKE UNION,1997,1.0,6,116300,28200,88100,Hotel,Parking,65.90000153,3188457.0,2639138.0
Hotel,MAGNOLIA / QUEEN ANNE,1998,1.0,6,155602,36744,118858,Hotel,,43.90000153,4558937.0,2277962.0
K-12 School,EAST,1911,1.0,3,56072,0,56072,K-12 School,,57.70000076,551867.0,2682920.0
Hotel,MAGNOLIA / QUEEN ANNE,1999,1.0,4,122942,44891,78051,Hotel,Parking,68.40000153,2423730.0,2913604.0
Small- and Mid-Sized Office,CENTRAL,1962,1.0,2,54984,0,54984,Office,,61.40000153,1978230.0,1396981.0
Hotel,LAKE UNION,2008,1.0,6,84103,20732,63371,Hotel,Parking,58.5,2812688.0,893412.0
K-12 School,SOUTHWEST,1948,1.0,2,53352,0,53352,K-12 School,,0.0,600813.0,0.0
Medical Office,EAST,1965,0.0,3,179014,0,179014,Medical Office,,93.30000305,9886484.0,6814570.0
Hotel,EAST,1908,1.0,7,76631,0,76631,Hotel,,94.69999695,2660742.0,4598016.0
Mixed Use Property,EAST,1983,1.0,6,99780,9341,90439,Medical Office,Parking,204.5,10145313.0,0.0
Retail Store,LAKE UNION,1929,1.0,2,58320,0,58320,Retail Store,,14.60000038,361803.0,687945.0
Large Office,LAKE UNION,2010,1.0,5,316306,0,316306,Office,Parking,48.0,12871091.0,924861.0
Hotel,LAKE UNION,1990,1.0,7,282863,44766,238097,Hotel,Parking,82.5,10980652.0,8478651.0
Other,MAGNOLIA / QUEEN ANNE,1962,1.0,1,389000,0,389000,Other,,64.30000305,14419146.0,688680.0
Other,MAGNOLIA / QUEEN ANNE,1962,1.0,1,91213,0,91213,Other,,125.1999969,3754115.0,0.0
Other,MAGNOLIA / QUEEN ANNE,1938,1.0,5,396085,0,396085,Other,,75.19999695,7252325.0,0.0
Large Office,LAKE UNION,2010,1.0,12,571329,0,571329,Office,Parking,63.40000153,32206199.0,7399685.0
Other,MAGNOLIA / QUEEN ANNE,1962,1.0,2,52000,0,52000,Other,,52.40000153,1293349.0,0.0
